cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 09:50:00,288.085,4.779,287.367,97983.333,288.539,286.795,286.196,285.865,285.569,97941.657,97790.449,97708.754,97650.340,97591.887,
2002-06-10 09:55:00,288.526,4.324,287.458,97986.667,289.144,286.954,286.310,285.958,285.645,97941.394,97790.353,97708.697,97650.304,97591.868,
2002-06-10 10:00:00,288.218,4.324,287.550,97990.000,288.666,286.929,286.322,285.986,285.686,97941.465,97790.329,97708.671,97650.283,97591.854,
2002-06-10 10:05:00,288.721,4.324,287.542,97991.667,289.370,287.088,286.424,286.061,285.738,97941.202,97790.251,97708.629,97650.259,97591.843,
2002-06-10 10:10:00,288.276,4.324,287.533,97993.333,288.712,287.001,286.388,286.047,285.742,97941.370,97790.269,97708.631,97650.255,97591.839,
2002-06-10 10:15:00,288.846,4.324,287.525,97995.000,289.522,287.162,286.488,286.120,285.793,97941.089,97790.192,97708.590,97650.232,97591.828,
2002-06-10 10:20:00,288.286,4.324,287.517,97996.667,288.703,287.044,286.435,286.096,285.793,97941.309,97790.221,97708.596,97650.230,97591.824,
2002-06-10 10:25:00,288.959,4.324,287.508,97998.333,289.664,287.228,286.548,286.178,285.850,97940.984,97790.135,97708.550,97650.204,97591.812,
2002-06-10 10:30:00,288.270,4.324,287.500,98000.000,288.663,287.074,286.476,286.143,285.844,97941.262,97790.176,97708.561,97650.204,97591.808,
2002-06-10 10:35:00,289.070,4.324,287.492,98001.667,289.810,287.286,286.605,286.235,285.908,97940.882,97790.078,97708.510,97650.175,97591.795,
2002-06-10 10:40:00,288.232,4.324,287.483,98003.333,288.597,287.094,286.513,286.188,285.897,97941.227,97790.133,97708.526,97650.178,97591.792,
2002-06-10 10:45:00,289.183,4.324,287.475,98005.000,289.962,287.342,286.662,286.294,285.969,97940.780,97790.020,97708.468,97650.145,97591.777,
2002-06-10 10:50:00,288.179,4.324,287.467,98006.667,288.511,287.109,286.548,286.234,285.952,97941.198,97790.089,97708.490,97650.150,97591.774,
2002-06-10 10:55:00,289.303,3.470,287.458,98008.333,290.126,287.399,286.721,286.355,286.033,97940.674,97789.960,97708.424,97650.114,97591.758,
2002-06-10 11:00:00,288.110,3.470,287.450,98010.000,288.404,287.118,286.582,286.280,286.009,97941.174,97790.046,97708.453,97650.121,97591.756,
2002-06-10 11:05:00,289.361,3.470,287.533,98010.000,290.221,287.402,286.725,286.359,286.037,97940.654,97789.956,97708.421,97650.112,97591.758,
2002-06-10 11:10:00,288.005,3.470,287.617,98010.000,288.277,287.049,286.517,286.216,285.945,97941.285,97790.109,97708.498,97650.153,97591.775,
2002-06-10 11:15:00,289.514,3.470,287.700,98010.000,290.454,287.403,286.696,286.316,285.983,97940.646,97789.995,97708.456,97650.139,97591.775,
2002-06-10 11:20:00,287.994,3.470,287.783,98010.000,288.255,287.033,286.482,286.172,285.892,97941.330,97790.151,97708.533,97650.180,97591.791,
