,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
2004-06-15 14:35:00,24.964,25.380000000000003,99530.0,29.324153841086343,29.401568474954047,29.760758276571494
2004-06-15 14:40:00,24.770000000000003,25.044,99534.0,29.38994191452383,29.46730502111967,29.826572865290586
2004-06-15 14:45:00,25.154000000000003,25.054,99528.0,29.456933930251296,29.534244934767685,29.893592250132258
2004-06-15 14:50:00,25.172,24.992,99518.0,29.514051343692813,29.59131093001872,29.95072599424219
2004-06-15 14:55:00,25.17,24.532,99512.0,29.570809408821503,29.648017537724797,30.00749992414154
2004-06-15 15:00:00,25.588,25.148000000000003,99512.0,29.630050042868902,29.707206175457884,30.131229211966343
2004-06-15 15:05:00,25.262,25.372000000000003,99508.0,29.667727986946943,29.744862873871966,30.168938632611457
2004-06-15 15:10:00,25.072,25.424,99502.0,29.715086298665426,29.792204386975072,30.216346427420092
2004-06-15 15:15:00,25.064,25.206,99496.0,29.782948739640347,29.860045955520775,30.28428297930219
2004-06-15 15:20:00,24.898,25.212,99486.0,29.85763435723385,29.934707808770554,30.359049364803695
2004-06-15 15:25:00,25.308,24.986,99480.0,29.92843000160775,30.005479955071394,30.42992059747189
2004-06-15 15:30:00,25.16,24.764000000000003,99472.0,29.986680885082535,30.0637096506573,30.488231819043733
2004-06-15 15:35:00,25.05,24.854,99466.0,30.02965248541011,30.106662826750664,30.53124513283825
2004-06-15 15:40:00,24.786,25.388,99462.0,30.070808813164717,30.147802058265086,30.57244196239401
2004-06-15 15:45:00,24.914,25.52,99456.0,30.110795927439824,30.187772971763195,30.612468838199675
2004-06-15 15:50:00,24.972,25.392,99454.0,30.135449070196103,30.21241250616032,30.63714286981184
2004-06-15 15:55:00,24.87,25.020000000000003,99452.0,30.15511768906981,30.232069423791756,30.656827308617437
2004-06-15 16:00:00,25.03,25.054,99448.0,30.17259544082691,30.249536926289466,30.730227109569626
2004-06-15 16:05:00,25.158,25.126,99456.0,30.17627751487464,30.253177418285077,30.73387336936821
2004-06-15 16:10:00,25.07,24.782,99448.0,30.16517993624035,30.242035679436412,30.72271397813762
2004-06-15 16:15:00,25.19,24.754,99448.0,30.158078696014,30.234893900076315,30.715560883720002
2004-06-15 16:20:00,25.134,24.584,99442.0,30.149616253055115,30.226394314825598,30.707047832175817
2004-06-15 16:25:00,25.248,24.5,99448.0,30.1399954368959,30.216737659107196,30.697375876962724
2004-06-15 16:30:00,24.954,24.576,99448.0,30.118748614883316,30.19545694564846,30.676061447466907
2004-06-15 16:35:00,25.08,24.49,99440.0,30.088967677205233,30.165644179073922,30.64620144712137
2004-06-15 16:40:00,25.086,24.374,99440.0,30.059824021560644,30.13646962971768,30.61698067515175
2004-06-15 16:45:00,25.178,24.276,99442.0,30.031332468000528,30.107947772654313,30.588413629566332
2004-06-15 16:50:00,24.782,24.238,99442.0,29.990972923358242,30.067559972557206,30.547961841174413
2004-06-15 16:55:00,25.002,24.264000000000003,99436.0,29.94925441496673,30.025814455502598,30.506150184729847
2004-06-15 17:00:00,24.97,24.248,99436.0,29.90833333561585,29.984867089570287,30.47561666658919
2004-06-15 17:05:00,25.048,24.106,99442.0,29.68281110647945,29.75939055622456,30.249775105906224
2004-06-15 17:10:00,24.96,24.22,99434.0,29.68670425677624,29.763143844575893,30.253534470512307
2004-06-15 17:15:00,24.962,24.484,99436.0,29.5677255677507,29.64421099573474,30.134409079500642
2004-06-15 17:20:00,25.064,24.36,99428.0,29.3558518391863,29.432433345443087,29.922288579198664
2004-06-15 17:25:00,25.124,24.756,99428.0,29.116930813717147,29.19361290134202,29.68308150510336
2004-06-15 17:30:00,25.168,24.892000000000003,99422.0,28.898447886300744,28.975221285630028,29.46433633193334
2004-06-15 17:35:00,25.272,25.026,99414.0,28.676847009073242,28.753710240182954,29.242466678936808
2004-06-15 17:40:00,25.106,24.78,99404.0,28.447587258902615,28.524541229074543,29.012926662683526
2004-06-15 17:45:00,25.124,24.522,99416.0,28.21276312732914,28.289809066129806,28.777814488324225
2004-06-15 17:50:00,24.928,24.130000000000003,99422.0,27.96787981806142,28.04501840721622,28.53262753414606
2004-06-15 17:55:00,24.962,23.974,99422.0,27.719273165020695,27.796504940258558,28.28371174501433
2004-06-15 18:00:00,24.968,23.914,99422.0,27.46780697696704,27.545131822122585,28.044060498132694
2004-06-15 18:05:00,25.052,23.852,99422.0,27.26356874186024,27.340941076915954,27.839530949242942
2004-06-15 18:10:00,25.022,23.61,99422.0,27.154949240188103,27.232351022194905,27.730760716373027
2004-06-15 18:15:00,24.952,23.524,99416.0,27.091248418893542,27.168672299107754,27.66697633430556
2004-06-15 18:20:00,24.89,23.43,99416.0,27.02978713752094,27.10723067185097,27.605432759971904
2004-06-15 18:25:00,24.796,23.328,99414.0,26.96884295695844,27.046305091214492,27.544406088509277
2004-06-15 18:30:00,24.732,23.304,99416.0,26.91685904766564,26.994338278014595,27.492353049326482
2004-06-15 18:35:00,24.582,23.268,99418.0,26.857507770817335,26.93500418571324,27.43292050687745
2004-06-15 18:40:00,24.516,23.12,99416.0,26.794290389169305,26.8718039808428,27.369615437008633
2004-06-15 18:45:00,24.476,23.084,99422.0,26.730879307130408,26.80840979642568,27.30611606573217
