,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-12 22:55:00,98069.53493563399,98058.12901886368,98046.72210368289,98035.31421539691,98023.90540665413,98012.49575474767,98001.08534846263,97989.6742648661,97978.26256061578,97966.85027434025,97955.4374323611,97944.02405368231,97932.61015111621,97921.19566905625
2002-06-12 23:00:00,98069.34512241867,98057.95681521781,98046.56672029085,98035.17484148926,98023.78123306565,98012.3860056581,98000.9893030774,97989.59124712906,97978.19191677104,97966.79135529426,97955.38958574488,97943.98662375081,97932.58247914826,97921.17706489588
2002-06-12 23:05:00,98069.52711277294,98058.14530312132,98046.76196998694,98035.3769218046,98023.99003412826,98012.60127837029,98001.21070588844,97989.81837464521,97978.42431618187,97967.02854088641,97955.63105562596,97944.23187802758,97932.83103376423,97921.42844080312
2002-06-12 23:10:00,98069.9357320822,98058.55300874956,98047.16888168693,98035.78308202878,98024.39538799891,98013.00566186802,98001.6138508721,97990.21992881178,97978.82386533398,97967.42562721633,97956.0251922894,97944.62256180501,97933.21775650009,97921.81067706175
2002-06-12 23:15:00,98070.4874568955,98059.09894026686,98047.70883376965,98036.31679199528,98024.92252823313,98013.5258478464,98002.12664956672,97990.7248726065,97979.32046599004,97967.91338608995,97956.50360687812,97945.09113029578,97933.67598211304,97922.25805089854
2002-06-12 23:20:00,98071.05316568572,98059.65593478404,98048.25687965409,98036.85559309658,98025.45174301797,98014.0451045009,98002.63556002123,97991.2230482385,97979.80752870008,97968.3889736441,97956.96737450939,97945.54275065225,97934.1151457074,97922.68445443764
2002-06-12 23:25:00,98071.56051824795,98060.15411175488,98048.74568735021,98037.33482629588,98025.92119075093,98014.50455257263,98003.08479461551,97991.66186555634,97980.23574288808,97968.80641989881,97957.37390827145,97945.93824457008,97934.49948646214,97923.05753419138
2002-06-12 23:30:00,98072.6465236143,98061.19803817045,98049.74814797343,98038.29636267608,98026.84229829199,98015.38569740142,98003.92643186508,97992.46447127058,97980.99984518928,97969.53261981858,97958.0628890825,97946.59077206689,97935.11640602256,97923.63980532764
2002-06-12 23:35:00,98073.61259572643,98062.11737891418,98050.62168136111,98039.12532098184,98027.62817668922,98016.13018383716,98004.63132512894,97993.13161613866,97981.63108850244,97970.12977868589,97958.62772308946,97947.12495692233,97935.62151416688,97924.1173576827
2002-06-12 23:40:00,98074.05943566684,98062.55184063195,98051.04367451237,98039.5348674649,98028.02537699544,98016.51518351679,98005.00428886453,97993.4927151476,97981.98049632618,97970.46766987663,97958.95427211726,97947.44033666124,97935.92589482112,97924.41091317128
2002-06-12 23:45:00,98074.31575612724,98062.80536949851,98051.29414384448,98039.78202347994,98028.2689810637,98016.75501383761,98005.24014149282,97993.72440293248,97982.20784677962,97970.69052293968,97959.17247824797,97947.65375531845,97936.13439312883,97924.6143594847
2002-06-12 23:50:00,98074.51480909486,98063.0026663418,98051.4895351205,98039.97535241966,98028.46008669594,98016.94373469985,98005.42631894101,97993.9078829893,97982.38848051937,97970.86816605888,97959.34699041881,97947.82499964304,97936.30223571362,97924.7786634019
2002-06-12 23:55:00,98074.70032763497,98063.18555018131,98051.66974383651,98040.15283579798,98028.63478562553,98017.11558287768,98005.59524513554,97994.0738132641,97982.55133970207,97971.02787846667,97959.5034801622,97947.97819078012,97936.45205238339,97924.92502655194
2002-06-13 00:00:00,98074.88815624284,98063.36982231418,98051.85044270559,98040.32993866423,98028.80826388106,98017.28540252555,98005.76136783708,97994.23619784719,97982.70994339349,97971.18265762005,97959.65439061282,97948.12518801105,97936.59509165106,97925.06406094384
2002-06-13 00:05:00,98074.91700614718,98063.39711637062,98051.87618738532,98040.35414865994,98028.83096048988,98017.30661205102,98005.78112046584,97994.25452731768,97982.72688684016,97971.19825529453,97959.66868547701,97948.13822527074,97936.60691835689,97925.0747277513
2002-06-13 00:10:00,98074.90721141217,98063.38735912113,98051.8664769076,98040.34449899013,98028.821389173,98017.29713908785,98005.77176718808,97994.2453149607,97982.71783538834,97971.18938276393,97959.66000750245,97948.12975483511,97936.59866548557,97925.06669926332
2002-06-13 00:15:00,98074.89387114158,98063.37438275931,98051.85387490438,98040.33228096378,98028.80956383422,98017.28571466784,98005.76075173041,97994.23471576009,97982.70765818424,97971.17963109625,97959.65068229481,97948.12085413195,97936.59018412456,97925.05862786455
2002-06-13 00:20:00,98074.89702509459,98063.37726436077,98051.85651156386,98040.33469718354,98028.81178186338,98017.28775535301,98005.76263505191,97994.2364606039,97982.70928193985,97971.18114941273,97959.65210901508,97948.12220131647,97936.59146197939,97925.0598447997
2002-06-13 00:25:00,98074.91449906079,98063.39378560496,98051.87211981195,98040.349431216,98028.82568018192,98017.30085687581,98005.77497934013,97994.24808725288,97982.72022984651,97971.19145631204,97959.66181129466,97948.13133398481,97936.60005858392,97925.06793858446
2002-06-13 00:30:00,98074.94138525538,98063.4194123133,98051.89652784257,98040.37266241148,98028.84777765101,98017.32186508684,98005.7949437994,97994.2670536655,97982.73824336159,97971.2085610971,97959.67805037102,97948.14674918116,97936.61469044584,97925.08182786012
2002-06-13 00:35:00,98074.97199814694,98063.44869606673,98051.9245190743,98040.39939966585,98028.87330155025,98017.3462183651,98005.81817088812,97994.28919967286,97982.75935313752,97971.22867867607,97959.6972187228,97948.16501011194,97936.63208446493,97925.09839562346
2002-06-13 00:40:00,98075.00538387513,98063.48075819973,98051.95529176024,98040.42891878763,98028.9016047845,98017.37334513645,98005.8441619481,97994.31409619644,97982.78319592623,97971.25150769779,97959.71907291174,97948.185927287,97936.65210120758,97925.11754856179
2002-06-13 00:45:00,98075.04048175353,98063.51452391443,98051.98775742744,98040.46011823589,98028.93157370156,98017.40212114016,98005.87178421895,97994.34060448396,97982.80862964148,97971.27590538724,97959.74247203968,97948.20836416584,97936.67361088803,97925.13816605855
2002-06-13 00:50:00,98075.0779922168,98063.55067385573,98052.0225793144,98040.49364594542,98028.96384260413,98017.4331681076,98005.90164726374,97994.36932189924,97982.83623924178,97971.302444085,97959.76797568149,97948.23286748653,97936.69714742214,97925.16076932791
2002-06-13 00:55:00,98075.11722377613,98063.58851520935,98052.05906219078,98040.52880352939,98028.99770959523,98017.46578070858,98005.93304281801,97994.39953804933,97982.86531319011,97971.33041218278,97959.79487327137,97948.25872886075,97936.72200574135,97925.18465780959
2002-06-13 01:00:00,98075.15966081378,98063.62948000454,98052.09858698508,98040.56692185068,98029.03445637671,98017.50119232424,98005.96715672192,97994.43239188047,97982.89694399714,97971.36085601572,97959.82416505231,97948.28690238064,97936.74909361322,97925.21069266688
2002-06-13 01:05:00,98075.20478081591,98063.67309838603,98052.14073509348,98040.6076325254,98029.07376397822,98017.53913268195,98006.00376673581,97994.46770867272,97982.93100419384,97971.39369536855,97959.85581831449,97948.31740329601,97936.77847486784,97925.23898710609
2002-06-13 01:10:00,98075.24564731603,98063.71253381185,98052.17877000918,98040.64429922843,98029.10909621298,98017.57316528415,98006.03653517364,97994.49924853939,97982.96135084137,97971.42288371731,97959.88388277171,97948.34437771003,97936.8043924622,97925.26388175151
2002-06-13 01:15:00,98075.28050424717,98063.74632177074,98052.2115030019,98040.67599326887,98029.1397688796,98017.60283511956,98006.06522101101,97994.52696895112,97982.9881239049,97971.4487270265,97959.90881355338,97948.36841295229,97936.82754902026,97925.28617718533
